id,weeks,prod,cust,scen,price
140,3,CEL_P,LV,5,0.321072
141,3,CUX_P,LA,1,0.138663
142,3,CUX_P,LA,2,0.168089
143,3,CUX_P,LA,3,0.195261
144,3,CUX_P,LA,4,0.253057
145,3,CUX_P,LA,5,0.138597
146,3,CUX_P,LV,1,0.113886
147,3,CUX_P,LV,2,0.134813
148,3,CUX_P,LV,3,0.174723
149,3,CUX_P,LV,4,0.215671
150,3,CUX_P,LV,5,0.118456
151,3,PEP_P,LA,1,0.388977
152,3,PEP_P,LA,2,0.422952
153,3,PEP_P,LA,3,0.717382
154,3,PEP_P,LA,4,0.503736
155,3,PEP_P,LA,5,0.708386
156,3,PEP_P,LV,1,0.294253
157,3,PEP_P,LV,2,0.380841
158,3,PEP_P,LV,3,0.636256
159,3,PEP_P,LV,4,0.444439
160,3,PEP_P,LV,5,0.481899
161,3,CAUL_P,LA,1,0.343436
162,3,CAUL_P,LA,2,0.627675
163,3,CAUL_P,LA,3,0.710233
164,3,CAUL_P,LA,4,0.722036
165,3,CAUL_P,LA,5,0.639087
166,3,CAUL_P,LV,1,0.451808
167,3,CAUL_P,LV,2,0.598012
168,3,CAUL_P,LV,3,0.620749
169,3,CAUL_P,LV,4,0.668272
170,3,CAUL_P,LV,5,0.641765
171,3,LET_P,LA,1,0.571459
172,3,LET_P,LA,2,0.651412
173,3,LET_P,LA,3,0.530867
174,3,LET_P,LA,4,0.568713
175,3,LET_P,LA,5,0.631387
176,3,LET_P,LV,1,0.46081
177,3,LET_P,LV,2,0.508434
178,3,LET_P,LV,3,0.432726
179,3,LET_P,LV,4,0.522938
180,3,LET_P,LV,5,0.480786
181,4,TOM_P,LA,1,0.387734
182,4,TOM_P,LA,2,0.41445
183,4,TOM_P,LA,3,0.403296
184,4,TOM_P,LA,4,0.990919
185,4,TOM_P,LA,5,0.46588
186,4,TOM_P,LV,1,0.303671
187,4,TOM_P,LV,2,0.294861
188,4,TOM_P,LV,3,0.394676
189,4,TOM_P,LV,4,0.823629
190,4,TOM_P,LV,5,0.388073
191,4,CEL_P,LA,1,0.153668
192,4,CEL_P,LA,2,0.1389
193,4,CEL_P,LA,3,0.455325
194,4,CEL_P,LA,4,0.135372
195,4,CEL_P,LA,5,0.247547
196,4,CEL_P,LV,1,0.154399
197,4,CEL_P,LV,2,0.162058
198,4,CEL_P,LV,3,0.434903
199,4,CEL_P,LV,4,0.154558
200,4,CEL_P,LV,5,0.260095
201,4,CUX_P,LA,1,0.130087
202,4,CUX_P,LA,2,0.168114
203,4,CUX_P,LA,3,0.175628
204,4,CUX_P,LA,4,0.197651
205,4,CUX_P,LA,5,0.13838
206,4,CUX_P,LV,1,0.0993215
207,4,CUX_P,LV,2,0.134833
208,4,CUX_P,LV,3,0.139361
209,4,CUX_P,LV,4,0.200332
210,4,CUX_P,LV,5,0.120175
211,4,PEP_P,LA,1,0.319077
212,4,PEP_P,LA,2,0.435642
213,4,PEP_P,LA,3,0.575343
214,4,PEP_P,LA,4,0.490703
215,4,PEP_P,LA,5,0.667812
216,4,PEP_P,LV,1,0.267292
217,4,PEP_P,LV,2,0.373405
218,4,PEP_P,LV,3,0.552189
219,4,PEP_P,LV,4,0.409451
220,4,PEP_P,LV,5,0.446729
221,4,CAUL_P,LA,1,0.341581
222,4,CAUL_P,LA,2,0.594331
223,4,CAUL_P,LA,3,0.608719
224,4,CAUL_P,LA,4,0.70831
225,4,CAUL_P,LA,5,0.638086
226,4,CAUL_P,LV,1,0.455586
227,4,CAUL_P,LV,2,0.556492
228,4,CAUL_P,LV,3,0.655373
229,4,CAUL_P,LV,4,0.678343
230,4,CAUL_P,LV,5,0.64387
231,4,LET_P,LA,1,0.629426
232,4,LET_P,LA,2,0.512608
233,4,LET_P,LA,3,0.443128
234,4,LET_P,LA,4,0.527957
235,4,LET_P,LA,5,0.694976
236,4,LET_P,LV,1,0.536798
237,4,LET_P,LV,2,0.390705
238,4,LET_P,LV,3,0.407078
239,4,LET_P,LV,4,0.463086
240,4,LET_P,LV,5,0.508776
241,5,TOM_P,LA,1,0.378995
242,5,TOM_P,LA,2,0.413283
243,5,TOM_P,LA,3,0.3893
244,5,TOM_P,LA,4,0.752284
245,5,TOM_P,LA,5,0.369605
246,5,TOM_P,LV,1,0.281614
247,5,TOM_P,LV,2,0.303621
248,5,TOM_P,LV,3,0.37514
249,5,TOM_P,LV,4,0.572672
250,5,TOM_P,LV,5,0.337289
251,5,CEL_P,LA,1,0.148962
252,5,CEL_P,LA,2,0.13397
253,5,CEL_P,LA,3,0.453025
254,5,CEL_P,LA,4,0.122681
255,5,CEL_P,LA,5,0.200651
256,5,CEL_P,LV,1,0.155049
257,5,CEL_P,LV,2,0.145016
258,5,CEL_P,LV,3,0.420659
259,5,CEL_P,LV,4,0.149217
260,5,CEL_P,LV,5,0.219165
261,5,CUX_P,LA,1,0.138357
262,5,CUX_P,LA,2,0.168152
263,5,CUX_P,LA,3,0.170319
264,5,CUX_P,LA,4,0.177914
265,5,CUX_P,LA,5,0.147605
266,5,CUX_P,LV,1,0.106711
267,5,CUX_P,LV,2,0.134864
268,5,CUX_P,LV,3,0.134406
269,5,CUX_P,LV,4,0.136223
270,5,CUX_P,LV,5,0.136523
271,5,PEP_P,LA,1,0.339044
272,5,PEP_P,LA,2,0.41845
273,5,PEP_P,LA,3,0.537397
274,5,PEP_P,LA,4,0.489585
275,5,PEP_P,LA,5,0.547327
276,5,PEP_P,LV,1,0.273698
277,5,PEP_P,LV,2,0.364051
278,5,PEP_P,LV,3,0.459062
279,5,PEP_P,LV,4,0.422304
280,5,PEP_P,LV,5,0.387217
281,5,CAUL_P,LA,1,0.447214
282,5,CAUL_P,LA,2,0.611962
283,5,CAUL_P,LA,3,0.616856
284,5,CAUL_P,LA,4,0.627345
285,5,CAUL_P,LA,5,0.638086
286,5,CAUL_P,LV,1,0.503706
287,5,CAUL_P,LV,2,0.564849
288,5,CAUL_P,LV,3,0.640029
289,5,CAUL_P,LV,4,0.604456
290,5,CAUL_P,LV,5,0.636895
291,5,LET_P,LA,1,0.726164
292,5,LET_P,LA,2,0.504456
293,5,LET_P,LA,3,0.442018
294,5,LET_P,LA,4,0.462045
295,5,LET_P,LA,5,0.558902
296,5,LET_P,LV,1,0.65864
297,5,LET_P,LV,2,0.438733
298,5,LET_P,LV,3,0.387977
299,5,LET_P,LV,4,0.436194
300,5,LET_P,LV,5,0.44982
301,6,TOM_P,LA,1,0.366074
302,6,TOM_P,LA,2,0.409717
303,6,TOM_P,LA,3,0.397411
304,6,TOM_P,LA,4,0.718401
305,6,TOM_P,LA,5,0.353638
306,6,TOM_P,LV,1,0.269574
307,6,TOM_P,LV,2,0.295381
308,6,TOM_P,LV,3,0.362948
309,6,TOM_P,LV,4,0.568204
310,6,TOM_P,LV,5,0.317129
311,6,CEL_P,LA,1,0.150376
312,6,CEL_P,LA,2,0.124046
313,6,CEL_P,LA,3,0.542661
314,6,CEL_P,LA,4,0.122681
315,6,CEL_P,LA,5,0.181624
316,6,CEL_P,LV,1,0.148166
317,6,CEL_P,LV,2,0.139252
318,6,CEL_P,LV,3,0.487545
319,6,CEL_P,LV,4,0.141323
320,6,CEL_P,LV,5,0.200935
321,6,CUX_P,LA,1,0.132487
322,6,CUX_P,LA,2,0.168152
323,6,CUX_P,LA,3,0.157342
324,6,CUX_P,LA,4,0.204781
325,6,CUX_P,LA,5,0.171053
326,6,CUX_P,LV,1,0.105079
327,6,CUX_P,LV,2,0.117792
328,6,CUX_P,LV,3,0.131947
329,6,CUX_P,LV,4,0.177119
330,6,CUX_P,LV,5,0.118511
331,6,PEP_P,LA,1,0.469829
332,6,PEP_P,LA,2,0.411233
333,6,PEP_P,LA,3,0.532855
334,6,PEP_P,LA,4,0.57767
335,6,PEP_P,LA,5,0.461267
336,6,PEP_P,LV,1,0.389588
337,6,PEP_P,LV,2,0.364675
338,6,PEP_P,LV,3,0.413749
339,6,PEP_P,LV,4,0.44903
340,6,PEP_P,LV,5,0.324054
341,6,CAUL_P,LA,1,0.448332
342,6,CAUL_P,LA,2,0.611962
343,6,CAUL_P,LA,3,0.910685
344,6,CAUL_P,LA,4,0.606677
345,6,CAUL_P,LA,5,0.638086
346,6,CAUL_P,LV,1,0.517122
347,6,CAUL_P,LV,2,0.581777
348,6,CAUL_P,LV,3,0.744046
349,6,CAUL_P,LV,4,0.592997
350,6,CAUL_P,LV,5,0.633442
351,6,LET_P,LA,1,0.875422
352,6,LET_P,LA,2,0.504456
353,6,LET_P,LA,3,0.442018
354,6,LET_P,LA,4,0.43018
355,6,LET_P,LA,5,0.457423
356,6,LET_P,LV,1,0.77936
357,6,LET_P,LV,2,0.408005
358,6,LET_P,LV,3,0.434186
359,6,LET_P,LV,4,0.393976
360,6,LET_P,LV,5,0.39139
361,7,TOM_P,LA,1,0.383081
362,7,TOM_P,LA,2,0.41357
363,7,TOM_P,LA,3,0.405521
364,7,TOM_P,LA,4,1.17901
365,7,TOM_P,LA,5,0.351075
366,7,TOM_P,LV,1,0.286694
367,7,TOM_P,LV,2,0.313977
368,7,TOM_P,LV,3,0.348078
369,7,TOM_P,LV,4,0.780627
370,7,TOM_P,LV,5,0.308814
371,7,CEL_P,LA,1,0.151634
372,7,CEL_P,LA,2,0.124046
373,7,CEL_P,LA,3,0.556375
374,7,CEL_P,LA,4,0.122681
375,7,CEL_P,LA,5,0.169131
376,7,CEL_P,LV,1,0.150049
377,7,CEL_P,LV,2,0.148129
378,7,CEL_P,LV,3,0.496781
379,7,CEL_P,LV,4,0.141931
380,7,CEL_P,LV,5,0.180922
381,7,CUX_P,LA,1,0.129972
382,7,CUX_P,LA,2,0.146099
383,7,CUX_P,LA,3,0.145087
384,7,CUX_P,LA,4,0.228533
385,7,CUX_P,LA,5,0.176819
386,7,CUX_P,LV,1,0.10166
387,7,CUX_P,LV,2,0.112475
388,7,CUX_P,LV,3,0.11437
389,7,CUX_P,LV,4,0.178466
390,7,CUX_P,LV,5,0.130951
391,7,PEP_P,LA,1,0.494581
392,7,PEP_P,LA,2,0.406722
393,7,PEP_P,LA,3,0.508524
394,7,PEP_P,LA,4,0.479684
395,7,PEP_P,LA,5,0.451544
396,7,PEP_P,LV,1,0.413363
397,7,PEP_P,LV,2,0.340477
398,7,PEP_P,LV,3,0.418369
399,7,PEP_P,LV,4,0.390285
400,7,PEP_P,LV,5,0.302254
401,7,CAUL_P,LA,1,0.613522
402,7,CAUL_P,LA,2,0.6159
403,7,CAUL_P,LA,3,1.17601
404,7,CAUL_P,LA,4,0.589721
405,7,CAUL_P,LA,5,0.638086
406,7,CAUL_P,LV,1,0.555944
407,7,CAUL_P,LV,2,0.568216
408,7,CAUL_P,LV,3,0.92789
409,7,CAUL_P,LV,4,0.573081
410,7,CAUL_P,LV,5,0.622017
411,7,LET_P,LA,1,0.880453
412,7,LET_P,LA,2,0.504456
413,7,LET_P,LA,3,0.442018
414,7,LET_P,LA,4,0.442793
415,7,LET_P,LA,5,0.472799
416,7,LET_P,LV,1,0.745002
417,7,LET_P,LV,2,0.435319
418,7,LET_P,LV,3,0.519907
419,7,LET_P,LV,4,0.39897
420,7,LET_P,LV,5,0.432867
421,8,TOM_P,LA,1,0.401626
422,8,TOM_P,LA,2,0.437217
423,8,TOM_P,LA,3,0.405363
424,8,TOM_P,LA,4,1.15777
425,8,TOM_P,LA,5,0.350496
426,8,TOM_P,LV,1,0.307376
427,8,TOM_P,LV,2,0.323315
428,8,TOM_P,LV,3,0.336785
429,8,TOM_P,LV,4,0.81581
430,8,TOM_P,LV,5,0.315433
431,8,CEL_P,LA,1,0.147833
432,8,CEL_P,LA,2,0.124026
433,8,CEL_P,LA,3,0.554868
434,8,CEL_P,LA,4,0.122681
435,8,CEL_P,LA,5,0.163096
436,8,CEL_P,LV,1,0.150308
437,8,CEL_P,LV,2,0.143837
438,8,CEL_P,LV,3,0.495122
439,8,CEL_P,LV,4,0.136193
440,8,CEL_P,LV,5,0.186045
441,8,CUX_P,LA,1,0.133204
442,8,CUX_P,LA,2,0.157096
443,8,CUX_P,LA,3,0.172413
444,8,CUX_P,LA,4,0.268464
445,8,CUX_P,LA,5,0.176527
446,8,CUX_P,LV,1,0.101165
447,8,CUX_P,LV,2,0.114771
448,8,CUX_P,LV,3,0.127843
449,8,CUX_P,LV,4,0.191809
450,8,CUX_P,LV,5,0.140874
451,8,PEP_P,LA,1,0.441992
452,8,PEP_P,LA,2,0.474691
453,8,PEP_P,LA,3,0.582449
454,8,PEP_P,LA,4,0.454078
455,8,PEP_P,LA,5,0.464874
456,8,PEP_P,LV,1,0.372583
