Prod,Scen,CostLogistic
CAUL_P,0,4.952950928087342
CEL_P,0,4.049106425528133
CUX_P,0,6.700883002048414
LET_P,0,3.2493170102974043
PEP_P,0,15.682446988748591
TOM_P,0,7.567090651717862
CAUL_P,1,5.485962564477991
CEL_P,1,4.636595221823082
CUX_P,1,5.039164755357396
LET_P,1,2.001683383518001
PEP_P,1,16.82038450506659
TOM_P,1,7.6709618165561215
CAUL_P,2,5.346081296483461
CEL_P,2,4.565113070370436
CUX_P,2,0.9913426887923253
LET_P,2,0.7136694797183496
PEP_P,2,18.573396810317007
TOM_P,2,4.6866401459077025
CAUL_P,3,5.8769169147300335
CEL_P,3,4.122943019954981
CUX_P,3,9.111667833348005
LET_P,3,5.034155224249584
PEP_P,3,17.157737984199738
TOM_P,3,8.686892919543762
CAUL_P,4,6.142142268497373
CEL_P,4,3.862954663749485
CUX_P,4,11.107436629954568
LET_P,4,5.278741743846305
PEP_P,4,13.462021720075327
TOM_P,4,13.885052012822966
