Prod,Scen,Income
CAUL_P,0,408471.0489769176
CEL_P,0,979962.3254369709
CUX_P,0,3693262.8610930024
LET_P,0,374051.06225069426
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,528958.7846074733
CEL_P,1,712334.5937251444
CUX_P,1,2868511.076393134
LET_P,1,323786.50677980157
PEP_P,1,9916.828878400001
TOM_P,1,0
CAUL_P,2,300205.0781323084
CEL_P,2,1719357.9025789902
CUX_P,2,4285922.902335658
LET_P,2,106982.92531871604
PEP_P,2,0
TOM_P,2,0
CAUL_P,3,464296.2533678541
CEL_P,3,1727136.807401223
CUX_P,3,2569371.490966434
LET_P,3,129025.81709069027
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,357694.09477548726
CEL_P,4,1862351.354414238
CUX_P,4,957974.550853352
LET_P,4,90423.96108662401
PEP_P,4,0
TOM_P,4,0
